,商品,标签
0,48g好丽友薯愿香烤原味,滞销
1,330ml伊利畅意乳酸菌原味,滞销
2,160g盼盼手撕面包,滞销
3,鸭翅,正常
4,40g双汇玉米热狗肠,正常
5,怡宝,正常
6,阿萨姆奶茶,正常
7,250ml燕塘甜牛奶,滞销
8,13g无穷烤鸡小腿蜂蜜味,正常
9,王老吉（罐）,正常
10,雪碧最新款,正常
11,5片装益达绿箭口香糖,滞销
12,统一来一桶香辣老坛酸菜牛肉面,滞销
13,无穷农场盐_鸡蛋,滞销
14,250ml维他原味豆奶,正常
15,250ml燕塘红枣牛奶,滞销
16,怡宝纯净水,热销
17,55g奥利奥原味芝士饼干,滞销
18,加多宝,滞销
19,250ml维他柠檬茶,正常
20,四洲粟一烧烧烤味,滞销
21,丽芝士纳宝帝奶酪威化饼干,滞销
22,2g韩国海牌海苔,滞销
23,30g无穷农场盐_鸡蛋,正常
24,58g丽芝士纳宝帝奶酪威化饼干,滞销
25,12g劲仔小鱼麻辣味,滞销
26,250ml燕塘原味酸奶,滞销
27,旺仔牛奶145ml,滞销
28,可口可乐最新款,滞销
29,145ml旺仔牛奶盒装,滞销
30,188g澳门永辉鸡仔饼,滞销
31,咪咪,滞销
32,伊利优酸乳,正常
33,68g好丽友巧克力派2枚,滞销
34,37.5g费列罗榛果威化巧克力3颗,滞销
35,脉动,热销
36,红牛,正常
37,东鹏特饮,正常
38,统一绿茶,正常
39,味之不规则饼干（芝士味）,滞销
40,86g合味道海鲜风味,滞销
41,无穷烤鸡小腿（蜂蜜）,滞销
42,32g卫龙亲嘴烧,滞销
43,维他原味豆奶,滞销
44,110g顺宝九制话梅,滞销
45,可口可乐（500ml）,滞销
46,印尼芝士威化饼干,滞销
47,冰糖雪梨,滞销
48,32g卫龙亲嘴烧红烧牛肉味,滞销
49,果粒橙,正常
50,250ml红牛,滞销
51,乐虎（380ml）,滞销
52,咪咪虾条马来西亚风味,滞销
53,180ml雀巢咖啡罐装,滞销
54,65g卫龙亲嘴豆皮,滞销
55,雪碧（500ml）,滞销
56,600ml可口可乐,滞销
57,香脆肠,滞销
58,好吃点,滞销
59,泰奇八宝粥,滞销
60,50g上好佳日式鱼果,滞销
61,康师傅矿泉水,滞销
62,145g果王迷你山楂包装,滞销
63,燕塘原味酸奶,滞销
64,营养快线,正常
65,熊字饼,滞销
66,芙蓉王,滞销
67,30g元朗小蛋卷,滞销
68,劲仔小鱼（麻辣味）,滞销
69,银鹭八宝粥,正常
70,香豆干,滞销
71,500ml统一阿萨姆奶茶,滞销
72,85g新麦潮手撕面包（提子味）,滞销
73,维他柠檬茶,滞销
74,好吃点小饼干,滞销
75,20g马来西亚风味咪咪蟹味粒0219,滞销
76,86g合味道浓猪骨味,滞销
77,20g咪咪虾条马来西亚风味,正常
78,45g双汇泡面拍挡,滞销
79,500ml加多宝,滞销
80,83g汤达人酸辣豚骨拉面,滞销
81,70g乖媳妇野山泡椒凤爪,滞销
82,韩国海牌海苔,滞销
83,430g泰奇八宝粥,滞销
84,统一冰红茶,正常
85,85g新麦潮北海道吐司,滞销
86,盼盼手撕面包,滞销
87,250ML东鹏特饮,滞销
88,80g香飘飘椰果奶茶麦香味,滞销
89,40g乐事薯片黄瓜味,滞销
90,55g奥利奥原味夹心饼干,滞销
91,芬达330ml,正常
92,王老吉（500ml）,正常
93,78g卫龙亲嘴语辣条,滞销
94,双汇玉米热狗肠,滞销
95,雪碧330ml,滞销
96,可口可乐330ml,正常
97,250ml王老吉盒装,滞销
98,225g味之不规则饼干芝士味,滞销
99,150g洽洽原香瓜子,滞销
100,600ml雪碧,滞销
101,40g卫龙点心面黑椒牛排味,滞销
102,55g奥利奥迷你杯夹心小饼干杯装原味,滞销
103,小鱼仔,滞销
104,500ml统一冰糖雪梨,滞销
105,40g上好佳日式鱼果,滞销
106,40g乐事薯片墨西哥鸡汁番茄味,滞销
107,52g旺旺仙贝,滞销
108,卫龙大面筋,正常
109,劲仔小鱼（卤香味）,滞销
110,250ml统一麦香奶茶,滞销
111,和成天下（红）,滞销
112,燕塘红枣牛奶,滞销
113,雪碧,滞销
114,123gUFO炒面XO酱海鲜风味,滞销
115,250ml维他奶巧克力味,滞销
116,合味道（海鲜风味）,滞销
117,75g新麦潮天然酵母面包（北海道牛奶风味）,滞销
118,40g乐事美国经典原味,滞销
119,美汁源果粒橙,滞销
120,450ml美汁源果粒橙,滞销
121,205g伊利安慕希原味,滞销
122,燕塘甜牛奶,滞销
123,凤爪,滞销
124,阿萨姆煎茶奶绿,滞销
125,维他奶,滞销
126,卫龙亲嘴烧红烧牛肉味,滞销
127,可乐可乐,滞销
128,口味王槟榔（红）,滞销
129,茉莉蜜茶,滞销
130,口味王槟榔（绿）,滞销
131,100g*5瓶益力多,滞销
132,85g统一老坛酸菜牛肉面,滞销
133,500ml康师傅冰糖雪梨,滞销
134,40g上好佳田园薯片,滞销
135,伊利纯牛奶,滞销
136,百事可乐500ml,滞销
137,尖叫,滞销
138,100g果王咸柑桔罐装,滞销
139,卫龙亲嘴烧麦辣鸡汁味,滞销
140,迷你纸巾,滞销
141,冰红茶（罐）,滞销
142,维他奶（巧克力味）,滞销
143,小茗同学,滞销
144,雪力矿泉水,滞销
145,美年达（罐）,滞销
146,250ml维他奶低糖原味,滞销
147,250ml维他椰子植物蛋白饮料,滞销
148,手撕素肉排,滞销
149,鸡爪,滞销
150,乐虎,滞销
151,椰树牌椰汁,滞销
152,480ml小茗同学冷泡溜溜哒茶,滞销
153,480ml小茗同学冷泡青柠红茶,滞销
154,600ml脉动青柠,滞销
155,117gUFO炒面铁板色拉鱿鱼风味,滞销
156,脉动（青柠）,滞销
157,268ml雀巢咖啡丝滑拿铁,滞销
158,50g双层百力滋奶咖味,滞销
159,小茗同学（青柠红茶）,滞销
160,500ml农夫果园 (芒果+菠萝+番石榴),滞销
161,91g徐福记凤梨酥,滞销
162,103g康师傅红烧牛肉面,滞销
163,148g富甲一方紫薯仔,滞销
164,50g马赛克手撕鱿鱼条,滞销
165,怡宝矿泉水,滞销
166,12g劲仔小鱼卤香味,滞销
167,40g呀土豆番茄酱味,滞销
168,80g香飘飘椰果奶茶原味,滞销
169,85g嘉士利果乐果香夹心饼干蓝莓味,滞销
170,诗竹竹纤维面巾纸,滞销
171,150抽诗竹竹纤维面巾纸,滞销
172,370g泰奇八宝粥,滞销
173,205ml安慕希蓝莓味,滞销
174,130g果王玉带蚕豆,滞销
175,260g马来西亚进口茱蒂丝口口香饼干,滞销
176,500ml营养快线原味,滞销
177,乐事薯片（黄瓜味）,滞销
178,40g上好佳田园薯片番茄味,滞销
179,500ml恒大冰泉矿泉水,滞销
180,40g呀土豆薯片滋香烤鸡味,滞销
181,70g乐事薯片黄瓜味,滞销
182,日式鱼果,滞销
183,80g马赛克香蕉片,滞销
184,12g劲仔小鱼（香辣味）,滞销
185,和成天下（黄）,滞销
186,68g好丽友蛋黄派2枚,滞销
187,奥利奥原味芝士,滞销
188,雀巢咖啡,滞销
189,80g四洲粟一烧烧烤味,滞销
190,150g健能酸奶原味,滞销
191,湘潭铺子(羽泉版),滞销
192,250ml维他椰子味豆奶7716,滞销
193,50g双层百力滋特浓番茄味,滞销
194,20g咩咩世界虾味条,滞销
195,旺仔牛奶,滞销
196,34g公仔迷你杯风味排骨味,滞销
197,统一阿萨姆奶茶,滞销
198,新麦潮天然酵母面包（牛奶风味）,滞销
199,250ml香满楼纯牛奶,滞销
200,50g上好佳田园薯片番茄味,滞销
201,汤达人方便面,滞销
202,上好佳田园薯片,滞销
203,安慕希酸奶,滞销
204,34g公仔迷你杯牛肉味,滞销
205,芦荟汁,滞销
206,10g卫龙亲嘴烧香辣味,滞销
207,180g统一满汉全席台式半筋半肉牛肉面,滞销
208,500ML宝矿力,滞销
209,越南LIPO奶味面包干100g,滞销
210,70g乐事薯片原味,滞销
211,40g盼盼手撕面包,滞销
212,百事可乐330ml,滞销
213,68g多力多玉米片爆香热辣味,滞销
214,商品14,滞销
215,145ml旺仔牛奶罐装,滞销
216,新麦潮北海道吐司,滞销
217,80g盼盼手撕面包,滞销
218,优益C活菌型乳酸菌饮品,滞销
219,顺宝九制梅,滞销
220,70g乐事薯片（黄瓜味）,滞销
221,维他柠檬茶330ml（罐）,滞销
222,13g雀巢咖啡1+2特浓,滞销
223,78g卫龙亲语,滞销
224,107g出前一丁桶面酱香牛肉王,滞销
225,小茗同学冷泡茶（乳酸菌味）,滞销
226,多力多滋（热辣味）,滞销
227,78g合味道杯面香菇炖鸡风味,滞销
228,32g卫龙亲嘴烧川香味,滞销
229,珠江纯生啤酒,滞销
230,健能酸奶,滞销
231,口味王槟榔（绿色）,滞销
232,农夫果园,滞销
233,娃哈哈红枣酸奶,滞销
234,乖媳妇野山椒风爪,滞销
235,330ml伊利畅意乳酸菌草莓味,滞销
236,商品2,滞销
237,小糖衣血糖仪,滞销
238,合味道（浓猪骨）,滞销
239,10g越南LIPO奶味面包干0015,滞销
240,70g乐事薯片青柠味,滞销
241,益力多100g*5瓶,滞销
242,可口可乐330ml（罐）,滞销
243,乐事薯片（青柠）,滞销
244,新麦潮天然酵母面包（良品铺子）,滞销
245,新麦潮手撕面包（提子味）,滞销
246,70g乐事薯片（原味）,滞销
247,天地一号,滞销
248,100g越南LIPO奶味面包干,滞销
249,100g卫龙点心面黑椒牛排味,滞销
250,脉动（椰子菠萝口味）,滞销
251,220g宝丰龙龟苓膏,滞销
252,劲仔小鱼,滞销
253,10g越南LIPO奶味面包干,滞销
254,250ml维他奶黑豆奶饮品,滞销
255,250ml维他椰子植物蛋白饮料9374,滞销
256,多芙利香草奶油味蛋糕,滞销
257,维他奶黑豆奶饮品,滞销
258,味之不规则饼干（番茄味）,滞销
259,商品36,滞销
260,劲仔小鱼（香辣味）,滞销
261,20g洽洽每日坚果,滞销
262,利群（硬）,滞销
263,拿铁咖啡（统一）,滞销
264,商品21,滞销
265,75g达利园柠檬蛋糕,滞销
